City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,Galveston,29.37,-94.97,84.0,78,1,10.29,US,2020-06-21 05:42:58
287,Chunskiy,56.08,99.63,82.67,38,2,2.82,RU,2020-06-21 05:42:58
288,Fort Nelson,58.81,-122.7,68.0,72,75,2.66,CA,2020-06-21 05:42:58
289,Volga,57.95,38.39,57.04,55,0,8.63,RU,2020-06-21 05:42:59
290,Ust-Kuyga,70.02,135.6,92.21,17,2,3.78,RU,2020-06-21 05:42:59
291,Marrakesh,31.63,-8.01,66.2,59,0,3.36,MA,2020-06-21 05:42:59
292,Bonga,7.28,36.23,66.7,82,19,1.1,ET,2020-06-21 05:43:00
293,Atar,20.52,-13.05,91.63,19,32,11.03,MR,2020-06-21 05:43:01
294,Kattivakkam,13.22,80.32,93.2,46,75,9.17,IN,2020-06-21 05:43:01
295,Petrov Val,50.14,45.21,78.35,48,89,11.23,RU,2020-06-21 05:43:02
296,Dukat,62.55,155.55,72.18,24,0,3.96,RU,2020-06-21 05:43:02
297,Yushan,31.38,120.95,75.2,78,90,11.18,CN,2020-06-21 05:43:02
298,Sampit,-2.53,112.95,88.41,64,63,1.43,ID,2020-06-21 05:43:03
299,Faya,18.39,42.45,77.0,23,93,5.82,SA,2020-06-21 05:43:03
300,Fujin,47.26,132.03,60.73,96,100,5.99,CN,2020-06-21 05:43:04
301,Sorong,-0.88,131.25,83.14,79,1,8.37,ID,2020-06-21 05:43:04
302,Kawalu,-7.38,108.21,81.61,71,100,4.83,ID,2020-06-21 05:43:04
303,Providencia,28.72,-111.58,78.01,54,0,1.01,MX,2020-06-21 05:43:05
304,Takoradi,4.88,-1.76,76.21,89,84,10.38,GH,2020-06-21 05:43:05
305,Kostomuksha,64.57,30.58,61.23,50,0,4.29,RU,2020-06-21 05:43:05
